Day,Max Temperature,Min Temperature
1,38.1,20.7
2,32.4,17.9
3,34.5,18.8
4,20.7,14.6
5,21.5,15.8
6,23.1,15.8
7,29.7,15.8
8,36.6,17.4
9,36.1,21.8
10,20.6,20
11,20.4,16.2
12,30.1,13.3
13,38.7,16.7
14,41.4,21.5
15,37,25
16,36,20.7
17,37,20.6
18,38,24.8
19,23,17.7
20,26.7,15.5
21,27.5,18.2
22,21.7,12.1
23,22.9,14.4
24,26.2,16
25,36.5,16.5
26,41.8,18.7
27,21.5,19.4
28,19.2,17.2
29,25,15.5
30,28.9,15.1
31,23.2,15.4
32,31.5,15.3
33,36.2,18.8
34,38.2,21.9
35,26.4,19.9
36,20.9,16.6
37,21.5,16.8
38,30.2,14.6
39,33.4,17.1
40,32.6,25
41,22.2,15
42,21.7,13.7
43,30,13.9
44,35.7,18.3
45,32.8,22
46,39.3,22.1
47,25.5,21.2
48,23,18.4
49,19.9,16.6
50,21.3,16.1
51,20.8,15.7
52,21.7,16.6
53,23.8,16.5
54,29,14.4
55,23.7,14.4
56,21.3,18.5
57,28.5,16.9
58,33.6,17.5
59,34.6,21.2
60,34.2,17.8
61,27,18.6
62,24.2,17
63,19.9,16
64,19.7,13.3
65,21.5,14.3
66,30.6,11.4
67,30,16.3
68,19,16.1
69,19.6,11.8
70,20.6,12.2
71,23.6,14.7
72,17.9,11.8
73,17.3,11.3
74,21.4,10.6
75,24.1,11.7
76,20.9,14.2
77,30.1,11.2
78,32.6,16.9
79,21.3,16.7
80,19.5,8.1
81,19.9,8
82,21,8.8
83,25.4,13.4
84,17.5,10.9
85,20.4,13.4
86,26.8,11
87,25.8,15
88,20.9,15.7
89,19.4,14.5
90,25.8,15.8
91,26.3,16.7
92,29.6,16.8
93,30.3,17.5
94,23.6,17.1
95,28.4,18.1
96,20.7,16.6
97,24.1,10
98,27.3,14.9
99,23.2,15.9
100,18.3,13
101,24.6,7.6
102,27.4,11.5
103,20.4,13.5
104,18.1,13
105,25.2,13.3
106,19.8,12.1
107,21,12.4
108,23.7,13.2
109,19.6,13.8
110,18.1,10.6
111,20.8,9
112,26,10
113,18.4,9.8
114,22,11.5
115,14.4,8.9
116,19.9,7.4
117,22.6,9.9
118,13.7,9.3
119,15.9,9.9
120,21.2,7.4
121,23.7,8.6
122,24,11.9
123,17.2,14
124,23.2,8.6
125,25.2,10
126,17.2,13.5
127,16,12
128,15.6,10.5
129,13.4,10.7
130,16,8.1
131,16.8,10.1
132,14.6,10.6
133,19.4,5.3
134,21,6.6
135,19.5,8.5
136,18.5,11.2
137,13.3,9.8
138,13.7,5.9
139,14.3,3.2
140,14.1,2.1
141,11.4,3.4
142,13.6,5.4
143,16.6,9.6
144,17.6,11.5
145,14.6,12.3
146,17.2,12.6
147,14.4,11
148,16.4,11.2
149,17.3,11.4
150,17.6,11.8
151,17.2,12.8
152,17.7,11.6
153,14.2,10.6
154,16.6,9.8
155,15.7,11.2
156,13.7,5.7
157,14.7,7.1
158,13.1,2.5
159,12.9,3.5
160,15.4,4.6
161,11.9,11
162,15.2,5.7
163,15.3,7.7
164,16.5,10.4
165,16.1,11.4
166,11.7,9.2
167,11.2,6.1
168,11.5,2.7
169,10.8,4.3
170,16.1,6.3
171,14.8,3.8
172,13.6,4.4
173,13.8,7.1
174,9.7,4.8
175,10.7,5.8
176,11,6.2
177,15.3,7.3
178,15.3,9.2
179,17,10.2
180,16,9.5
181,16.3,9.5
182,15.7,10.7
183,14.5,10
184,10.8,6.5
185,10.5,7
186,13.4,7.4
187,12.2,8.1
188,13.2,6.6
189,13,8.3
190,12.4,8.9
191,13.1,4.6
192,9.8,6.8
193,10.5,5.7
194,13.4,6.1
195,11,7
196,13.1,7.2
197,15,6.3
198,16.7,8.8
199,16.1,5
200,18.2,7.4
201,15.7,10.1
202,17.7,12
203,15.9,9
204,15.1,8.9
205,15.2,9.8
206,14.7,9
207,13.3,9.2
208,14.5,7.7
209,11.1,8
210,13.1,6.1
211,13.7,3.5
212,14.6,3.2
213,12.9,5.7
214,12.8,7.7
215,15.2,9
216,14.5,10
217,17.2,6.2
218,14.5,6.9
219,14.4,6.5
220,11,6.8
221,13.1,7
222,13.6,5.2
223,14.6,3
224,12.7,5.6
225,13.6,7.9
226,12.7,9
227,15.5,8.6
228,17.4,10.3
229,15.2,10.5
230,14.2,7.6
231,17.7,9.7
232,19.2,12.5
233,12.5,7.4
234,14.2,7.9
235,15.3,3.9
236,15.7,6.6
237,17,4.6
238,19,7
239,13.1,6
240,13.2,5.5
241,13.2,8.1
242,15.7,5.5
243,14.1,6.2
244,15.6,8
245,15.5,10.3
246,15.9,9.8
247,15.1,9.6
248,16,8.5
249,19.4,7.5
250,21.5,11.2
251,23.7,14.6
252,18.7,11.7
253,23.8,7.8
254,18,12.3
255,16.2,10.1
256,18.5,11.5
257,20.6,7.3
258,18.3,10.9
259,22.5,14.1
260,26.9,10.7
261,19.4,16.9
262,15.9,10.5
263,20.5,6.5
264,21.2,11
265,19.5,6.3
266,14.7,10.5
267,17.6,7.2
268,15.8,7.6
269,17.7,10.7
270,14.3,7.8
271,16.8,9.6
272,18.6,11.4
273,21.9,12.4
274,21.4,8.9
275,20.8,13.2
276,14,8.6
277,17,6.2
278,23,11.4
279,26.4,13.2
280,19.6,14.3
281,22.7,7.3
282,26.9,12.9
283,14.7,7.8
284,15.2,6.2
285,19.8,5.6
286,26.9,10
287,20.2,13.3
288,14.3,8.3
289,14.8,10.2
290,18.5,8.6
291,21.7,7.3
292,21.4,10.4
293,21.8,11.2
294,18.2,13.2
295,15.8,11.4
296,15.3,9.1
297,18.5,6.6
298,19.2,8.4
299,28.5,9.7
300,32.2,13.2
301,21.8,12.5
302,22.1,11
303,20.7,11
304,17,11.7
305,24.7,9.2
306,26.2,11.5
307,29,13.6
308,21.6,13.7
309,17.1,10.4
310,16.9,11.5
311,19.1,7.6
312,24.7,9.6
313,25.4,14.2
314,19.8,15.7
315,18.2,10.5
316,16.3,10.5
317,17,9.7
318,17.7,9.5
319,15.5,11.3
320,14.7,8.9
321,15.8,9.4
322,19.9,11.9
323,20.4,11.7
324,23.3,13.4
325,20.2,12.6
326,28.8,10.1
327,31.2,15.8
328,17.4,13.6
329,18.5,11.9
330,26.8,9.9
331,34.3,12.6
332,30.1,17.8
333,20.5,15
334,20.5,13.6
335,19.8,13.4
336,27,10.5
337,21,14.2
338,33,11.5
339,22.6,13
340,28.3,15
341,21.1,14.7
342,19,12.6
343,17.3,12.5
344,27,13.5
345,30.2,14.8
346,24.8,17.2
347,17.9,9.7
348,17.9,12.1
349,20.7,12.8
350,30.9,11.2
351,36.2,16.4
352,21,15.6
353,20.2,13.3
354,21.3,11
355,24.2,11.1
356,21,15
357,20.7,12.8
358,17.8,15
359,19.6,14.2
360,22.6,14
361,20.5,15.5
362,24.1,13.3
363,22.2,15.6
364,27,15.2
365,33.6,17.4
