Serial No.,GRE,TOEFL,Uni_R,SOP,CGPA,Chance
93,298,98,2,4,85.29,0.34
377,297,96,2,2.5,81.72,0.34
59,300,99,1,3,70.99,0.36
95,303,99,3,2,85.83,0.36
92,299,97,3,5,85.83,0.38
376,304,101,2,2,85.83,0.38
375,315,105,2,2,85.65,0.39
60,311,104,2,2,97.84,0.42
96,304,100,4,1.5,89.13,0.42
348,299,94,1,1,80.14,0.42
330,297,96,2,2.5,90.05,0.43
28,298,98,2,1.5,82.96,0.44
79,296,95,2,3,83.67,0.44
94,301,97,2,3,89.87,0.44
10,323,108,3,3.5,103.75,0.45
118,290,104,4,2,82.25,0.45
29,295,93,1,2,77.71,0.46
41,308,110,3,3.5,92.11,0.46
58,298,99,2,4,84.75,0.46
80,294,93,1,1.5,80.49,0.46
387,302,101,2,2.5,91.36,0.46
62,307,101,3,4,95.91,0.47
119,296,99,2,3,79.09,0.47
345,295,96,2,1.5,80.14,0.47
347,304,97,2,1.5,85.47,0.47
378,290,100,1,1.5,84.03,0.47
40,307,108,2,4,86.56,0.48
61,309,100,2,3,94,0.48
97,306,100,2,3,92.11,0.48
42,316,105,2,2.5,95.91,0.49
273,294,95,1,1.5,85.47,0.49
346,316,98,1,1.5,81.72,0.49
389,296,97,2,1.5,88.39,0.49
9,302,102,1,2,92.11,0.5
81,312,105,3,2,92.49,0.5
369,298,92,1,2,89.87,0.51
11,325,106,3,3.5,99.79,0.52
39,304,105,1,3,82.96,0.52
65,325,111,3,3,105.76,0.52
160,297,100,1,1.5,90.24,0.52
274,312,99,1,1,92.3,0.52
43,313,107,2,2.5,101.76,0.53
162,298,99,1,1.5,82.25,0.53
388,307,105,2,2,94,0.53
16,314,105,3,3.5,97.84,0.54
30,310,99,2,1.5,79.44,0.54
63,304,105,2,3,95.91,0.54
272,299,96,2,1.5,89.5,0.54
317,298,101,2,1.5,89.5,0.54
66,325,112,4,3.5,110.25,0.55
52,312,100,2,1.5,90.24,0.56
64,315,107,2,4,101.76,0.56
117,299,102,3,4,104.15,0.56
292,300,102,2,1.5,89.68,0.56
293,302,99,2,1,91.55,0.56
379,303,98,1,2,85.65,0.56
68,316,107,2,3.5,104.55,0.57
104,317,104,2,4.5,101.17,0.57
123,310,106,4,1.5,99.01,0.57
125,301,106,4,2.5,101.17,0.57
161,315,103,1,1.5,89.5,0.57
206,295,99,2,2.5,85.65,0.57
349,302,99,1,2,78.57,0.57
368,311,98,1,1,82.25,0.57
38,300,105,1,1,88.39,0.58
275,315,100,1,2,89.31,0.58
291,307,105,2,2.5,83.85,0.58
318,300,99,1,1,90.43,0.58
343,308,106,3,3,94.76,0.58
115,311,105,3,3.5,98.81,0.59
240,299,100,1,1.5,88.21,0.59
344,305,103,2,2.5,92.67,0.59
355,297,98,2,2.5,84.21,0.59
241,296,101,1,2.5,84.39,0.6
15,311,104,3,3.5,94,0.61
67,327,114,3,3,110.25,0.61
111,305,108,5,3,99.4,0.61
124,308,108,3,3.5,94.38,0.61
159,306,106,2,2,92.86,0.61
226,296,99,2,2.5,90.8,0.61
295,316,101,2,2.5,96.29,0.61
14,307,109,3,4,90.24,0.62
20,303,102,3,3.5,99.79,0.62
103,314,106,2,4,94.95,0.62
113,301,107,3,3.5,96.68,0.62
301,309,106,2,2.5,90.24,0.62
305,313,106,2,2.5,98.42,0.62
324,305,102,2,2,93.62,0.62
350,313,101,3,2.5,90.99,0.62
384,300,100,3,3,95.14,0.62
19,318,110,3,4,105.76,0.63
207,315,99,2,3.5,88.21,0.63
227,306,110,2,3.5,98.81,0.63
245,314,107,2,2.5,100.97,0.63
327,299,100,3,2,90.61,0.63
354,300,102,3,3.5,93.43,0.63
21,312,107,3,3,88.39,0.64
37,299,106,2,4,97.84,0.64
56,320,103,3,3,84.75,0.64
57,316,102,3,2,79.44,0.64
78,301,99,2,3,94.38,0.64
89,314,108,3,4.5,92.86,0.64
91,318,106,2,4,88.76,0.64
102,312,105,2,2.5,92.49,0.64
126,300,100,3,2,102.95,0.64
168,313,102,3,2,95.33,0.64
169,293,97,2,2,86.56,0.64
209,305,106,2,3,93.24,0.64
228,312,110,2,3.5,100.38,0.64
234,304,100,2,2.5,91.55,0.64
294,312,98,1,3.5,93.62,0.64
353,303,100,2,3,91.36,0.64
391,314,102,2,2,94.76,0.64
5,314,103,2,2,94.19,0.65
18,319,106,3,4,90.24,0.65
31,300,97,2,3,92.11,0.65
158,309,104,2,2,95.14,0.65
167,302,102,3,3.5,96.49,0.65
170,311,99,2,2.5,89.87,0.65
242,317,103,2,2.5,93.05,0.65
303,322,105,2,3,98.81,0.65
316,308,104,2,2.5,89.68,0.65
17,317,107,3,4,101.76,0.66
88,317,107,2,3.5,93.62,0.66
116,310,106,4,4.5,108.61,0.66
208,310,102,3,3.5,88.76,0.66
279,308,103,2,3,97.65,0.66
302,319,108,2,2.5,102.95,0.66
315,305,105,2,3,90.8,0.66
163,318,109,3,3,97.84,0.67
225,305,105,2,3,92.67,0.67
280,304,102,2,3,102.35,0.67
314,301,100,3,3.5,89.13,0.67
325,315,104,3,3,94.57,0.67
370,301,98,1,2,88.94,0.67
399,312,103,3,3.5,103.35,0.67
8,308,101,2,3,86.56,0.68
69,318,109,3,3.5,112.33,0.68
110,304,103,5,5,100.58,0.68
164,317,105,3,3.5,99.01,0.68
171,312,101,2,2.5,89.13,0.68
183,299,100,2,3,86.2,0.68
210,301,104,3,3.5,90.61,0.68
281,311,102,3,4.5,100.58,0.68
296,317,100,2,3,99.2,0.68
358,301,104,2,3.5,86.38,0.68
106,316,110,3,4,103.35,0.69
112,321,109,4,4,101.36,0.69
205,298,105,3,3.5,98.62,0.69
233,312,107,2,2.5,93.43,0.69
309,312,108,3,3.5,98.42,0.69
328,295,101,2,2.5,85.83,0.69
364,306,103,2,2.5,95.14,0.69
22,325,114,4,3,95.91,0.7
55,322,110,3,3,88.39,0.7
157,315,105,3,2,94.76,0.7
199,311,104,3,4.5,96.49,0.7
239,310,104,3,2,95.33,0.7
243,324,115,3,3.5,102.95,0.7
252,316,99,2,2.5,107.79,0.7
263,308,103,2,2.5,95.14,0.7
264,324,111,3,2.5,103.55,0.7
278,320,101,2,2.5,100.18,0.7
310,308,110,4,3.5,99.79,0.7
359,314,105,2,2.5,81.9,0.7
101,322,107,3,3.5,97.07,0.71
120,327,104,5,3,104.55,0.71
133,309,105,5,3.5,99.01,0.71
138,316,100,2,1.5,91.36,0.71
181,300,104,3,3.5,91.36,0.71
182,305,107,2,2.5,96.29,0.71
224,308,109,2,3,96.87,0.71
229,318,112,3,4,101.17,0.71
248,311,104,2,2.5,97.45,0.71
253,318,100,2,2.5,98.62,0.71
262,312,104,3,3.5,90.05,0.71
266,313,102,3,2.5,101.36,0.71
300,305,112,3,3,98.81,0.71
334,319,108,3,3,96.68,0.71
380,311,99,1,2.5,94.57,0.71
392,318,106,3,2,98.81,0.71
3,316,104,3,3,86.56,0.72
54,324,112,4,4,88.39,0.72
76,329,114,2,2,97.07,0.72
87,315,106,3,4.5,94.38,0.72
114,320,110,2,4,97.07,0.72
179,309,108,3,2.5,88.76,0.72
185,316,106,2,2.5,92.49,0.72
200,313,107,3,4,99.59,0.72
202,315,110,2,3.5,95.14,0.72
247,316,105,3,3,100.38,0.72
267,312,105,2,2,94.95,0.72
271,306,105,2,2.5,90.61,0.72
323,314,107,2,2.5,91.55,0.72
337,319,110,3,3,101.56,0.72
371,310,103,2,2.5,90.99,0.72
180,307,102,3,3,91.55,0.73
197,306,105,2,3,91.36,0.73
198,310,106,2,3.5,92.67,0.73
201,317,103,3,2.5,96.68,0.73
231,313,104,3,4,98.81,0.73
268,314,107,3,3,89.68,0.73
304,323,107,3,3.5,96.87,0.73
322,323,104,3,4,94.76,0.73
332,311,105,2,3,88.76,0.73
335,312,107,4,4.5,96.87,0.73
352,325,110,4,3.5,97.26,0.73
356,317,106,2,2,86.92,0.73
382,319,105,3,3,97.26,0.73
32,327,103,3,4,90.24,0.74
75,314,106,3,3,101.76,0.74
77,327,112,3,3,98.23,0.74
90,316,109,4,4.5,99.01,0.74
105,326,112,3,3.5,104.75,0.74
220,312,104,3,3.5,92.49,0.74
232,319,106,3,3.5,90.8,0.74
251,320,104,3,3,95.33,0.74
306,321,109,3,3.5,99.79,0.74
351,318,107,3,3,89.68,0.74
367,320,104,3,3.5,90.99,0.74
7,321,109,3,3,88.39,0.75
147,315,105,3,2,93.62,0.75
184,314,110,3,4,99.79,0.75
222,316,110,3,3.5,95.14,0.75
265,325,110,2,3,99.01,0.75
321,317,106,3,4,94,0.75
333,308,106,3,3.5,88.57,0.75
341,312,107,3,3,93.24,0.75
2,324,107,4,4,101.17,0.76
27,322,109,5,4.5,99.79,0.76
51,313,98,3,2.5,90.24,0.76
86,319,103,4,4.5,97.07,0.76
137,312,103,3,5,93.05,0.76
221,313,103,3,4,100.77,0.76
223,324,113,4,4.5,101.56,0.76
244,325,114,3,3.5,106.57,0.76
257,309,99,3,4,97.07,0.76
297,310,107,3,3.5,99.2,0.76
311,320,104,3,3,100.58,0.76
390,320,108,3,3.5,94.76,0.76
132,303,105,5,5,98.81,0.77
156,312,109,3,3,99.59,0.77
195,316,109,3,3.5,100.97,0.77
250,321,111,3,3.5,102.35,0.77
259,326,102,4,5,100.97,0.77
270,308,108,4,4.5,92.86,0.77
365,313,102,3,3.5,103.75,0.77
394,317,104,2,3,100.97,0.77
13,328,112,4,4,107.79,0.78
50,327,111,4,3,94,0.78
53,334,116,4,4,86.56,0.78
70,328,115,4,4.5,109.02,0.78
128,319,112,3,2.5,99.99,0.78
140,318,109,1,3.5,108.2,0.78
166,322,110,5,4.5,105.15,0.78
196,307,107,2,3,96.29,0.78
258,324,100,3,4,98.62,0.78
276,322,110,3,3.5,104.95,0.78
313,311,107,4,4.5,105.76,0.78
381,322,104,3,3.5,102.55,0.78
100,323,113,3,4,103.35,0.79
134,323,112,5,4,103.35,0.79
150,311,106,2,3.5,93.24,0.79
154,324,105,3,3,102.75,0.79
211,325,108,4,4.5,109.02,0.79
256,307,110,4,4,95.33,0.79
290,313,109,3,4,107.79,0.79
307,323,110,3,4,109.84,0.79
319,324,111,3,2.5,103.75,0.79
342,326,110,3,3.5,102.95,0.79
357,327,109,3,3.5,103.15,0.79
374,321,109,3,3,98.62,0.79
4,322,110,3,3.5,101.17,0.8
139,326,116,2,4.5,109.43,0.8
145,325,112,2,3,106.98,0.8
155,326,108,3,3,105.56,0.8
249,324,110,3,3.5,105.15,0.8
282,317,110,3,4,110.05,0.8
284,321,111,3,2.5,105.76,0.8
308,325,112,4,4,107.79,0.8
320,327,113,4,3.5,101.56,0.8
329,324,112,4,4,103.15,0.8
331,327,113,3,3.5,100.97,0.8
146,320,113,2,2,100.58,0.81
165,329,111,4,4.5,107.99,0.81
246,328,110,4,4,108.2,0.81
283,312,106,3,4,103.55,0.81
326,326,116,3,3.5,110.67,0.81
339,323,108,5,4,102.55,0.81
340,324,107,5,3.5,102.95,0.81
360,321,107,2,2,98.62,0.81
49,321,110,3,3.5,106.77,0.82
136,314,109,4,3.5,105.15,0.82
178,319,110,3,3.5,110.67,0.82
212,328,110,4,5,112.74,0.82
230,324,111,4,3,110.05,0.82
289,314,104,4,5,110.25,0.82
383,324,110,4,4.5,112.95,0.82
396,324,110,3,3.5,110.67,0.82
148,326,114,3,3,112.12,0.83
269,327,113,4,4.5,112.74,0.83
336,325,111,4,4,112.12,0.83
12,327,111,4,4,109.84,0.84
74,314,108,4,4.5,110.67,0.84
129,326,112,3,3.5,111.91,0.84
141,329,110,2,4,112.95,0.84
187,317,107,3,3.5,103.35,0.84
219,324,110,4,3,109.22,0.84
312,328,108,4,4.5,113.58,0.84
393,326,112,4,4,112.33,0.84
397,325,107,3,3,112.12,0.84
127,323,113,3,4,116.53,0.85
176,320,111,4,4.5,107.18,0.85
218,321,109,4,4,112.53,0.85
237,325,112,4,4,113.37,0.85
255,321,114,4,4,112.33,0.85
361,322,110,3,4,102.55,0.85
47,329,114,5,4,118.24,0.86
98,331,120,3,4,111.08,0.86
153,321,112,5,5,113.16,0.86
173,322,110,4,4,114.63,0.86
193,322,114,5,4.5,110.67,0.86
238,329,114,5,4.5,115.9,0.86
298,320,120,3,4,114.21,0.86
366,330,114,4,4.5,115.47,0.86
44,332,117,4,4.5,114,0.87
107,329,111,4,4.5,115.69,0.87
175,321,111,4,4,111.29,0.87
192,323,110,5,4,111.49,0.87
261,327,108,5,5,114.63,0.87
36,320,110,5,5,116.11,0.88
46,322,110,5,5,114,0.88
190,324,112,5,5,113.58,0.88
236,326,111,5,4.5,116.75,0.88
48,339,119,5,4.5,126.96,0.89
135,333,113,5,4,117.81,0.89
172,334,117,5,4,113.37,0.89
174,323,113,4,4,116.75,0.89
186,327,113,4,4.5,114.21,0.89
277,329,113,5,5,121.47,0.89
288,324,114,5,5,113.58,0.89
372,324,110,3,3.5,116.53,0.89
395,329,111,4,4.5,116.75,0.89
6,330,115,5,4.5,119.1,0.9
34,340,114,5,4,124.75,0.9
99,332,119,4,5,116.96,0.9
142,332,118,2,4.5,119.53,0.9
177,329,119,4,4.5,115.26,0.9
191,324,111,5,4.5,115.26,0.9
260,331,119,4,5,119.1,0.9
299,330,114,3,4.5,116.96,0.9
33,338,118,4,3,120.39,0.91
45,326,113,5,4.5,120.39,0.91
108,338,117,4,3.5,121.69,0.91
217,322,112,4,4.5,117.39,0.91
235,330,113,5,5,118.45,0.91
363,338,115,5,4.5,116.75,0.91
398,330,116,4,5,121.47,0.91
1,337,118,4,4.5,125.85,0.92
83,320,110,5,5,116.53,0.92
84,322,115,5,4,119.53,0.92
130,333,118,5,5,119.31,0.92
143,331,115,5,4,121.26,0.92
287,336,118,5,4.5,115.9,0.92
73,321,111,5,5,121.47,0.93
109,331,116,5,5,119.96,0.93
151,334,114,4,4,121.04,0.93
188,335,118,5,4.5,121.26,0.93
189,331,115,5,4.5,119.53,0.93
216,330,116,5,5,119.53,0.93
254,335,115,4,4.5,126.52,0.93
286,331,116,5,4,117.39,0.93
362,334,116,4,4,125.63,0.93
23,328,116,5,5,124.75,0.94
26,340,120,5,4.5,126.96,0.94
35,331,112,5,4,131.44,0.94
71,332,118,5,5,127.85,0.94
85,340,115,5,4.5,123.65,0.94
121,335,117,5,5,126.07,0.94
122,334,119,5,4.5,124.31,0.94
152,332,116,5,5,119.96,0.94
194,336,118,5,4.5,125.41,0.94
215,331,117,4,4.5,123,0.94
285,340,112,4,5,128.3,0.94
338,332,118,5,5,124.09,0.94
24,334,119,5,5,129.19,0.95
213,338,120,4,5,128.3,0.95
373,336,119,4,4.5,127.4,0.95
400,333,117,4,5,128.3,0.95
72,336,112,5,5,130.54,0.96
82,340,120,4,5,124.75,0.96
131,339,114,5,4,130.54,0.96
149,339,116,4,4,131.44,0.96
214,333,119,5,5,130.99,0.96
385,340,113,4,5,130.09,0.96
386,335,117,5,5,131.89,0.96
25,336,119,5,4,131.44,0.97
144,340,120,4,4.5,134.17,0.97
203,340,120,5,4.5,133.94,0.97
204,334,120,5,4,133.03,0.97
